State,Area name,no_hs_diploma,hs_diploma,some_college,bachelors_up
AL,Alabama,12.6,30.5,30.2,26.7
AL,Autauga County,10.4,32.8,28.7,28.1
AL,Baldwin County,9.0,27.4,31.2,32.5
AL,Barbour County,24.3,36.7,27.8,11.2
AL,Bibb County,19.5,43.9,24.7,11.9
AL,Blount County,16.4,35.1,33.6,14.9
AL,Bullock County,22.4,41.3,24.6,11.7
AL,Butler County,14.4,45.2,26.3,14.0
AL,Calhoun County,14.8,34.6,31.1,19.5
AL,Chambers County,17.2,36.2,32.9,13.7
AL,Cherokee County,20.2,36.9,30.1,12.8
AL,Chilton County,18.2,42.9,25.3,13.5
AL,Choctaw County,19.4,37.5,31.4,11.7
AL,Clarke County,17.8,41.4,26.9,13.9
AL,Clay County,17.0,38.2,31.4,13.4
AL,Cleburne County,16.9,37.5,29.2,16.4
AL,Coffee County,13.6,28.0,35.7,22.7
AL,Colbert County,13.2,37.7,31.2,17.9
AL,Conecuh County,12.4,48.5,26.6,12.5
AL,Coosa County,14.9,41.8,32.1,11.2
AL,Covington County,14.8,38.0,31.4,15.8
AL,Crenshaw County,18.8,41.8,23.0,16.4
AL,Cullman County,15.8,32.4,35.3,16.5
AL,Dale County,15.2,30.9,35.3,18.7
AL,Dallas County,14.1,38.2,31.6,16.1
AL,DeKalb County,21.8,33.5,30.3,14.4
AL,Elmore County,12.4,32.1,31.0,24.6
AL,Escambia County,18.3,43.7,25.4,12.5
AL,Etowah County,13.8,33.8,34.4,18.0
AL,Fayette County,17.0,41.0,30.2,11.8
AL,Franklin County,20.5,42.2,23.0,14.3
AL,Geneva County,17.5,36.6,32.4,13.5
AL,Greene County,15.6,39.3,32.5,12.7
AL,Hale County,18.7,39.1,26.4,15.8
AL,Henry County,18.7,32.2,27.5,21.6
AL,Houston County,12.2,32.1,33.4,22.2
AL,Jackson County,17.6,38.3,28.1,16.1
AL,Jefferson County,9.0,26.4,29.9,34.7
AL,Lamar County,17.5,41.7,30.8,10.0
AL,Lauderdale County,11.3,35.1,28.1,25.5
AL,Lawrence County,16.8,41.3,26.6,15.3
AL,Lee County,8.6,22.1,30.7,38.6
AL,Limestone County,13.5,27.3,30.8,28.4
AL,Lowndes County,15.3,43.1,26.5,15.1
AL,Macon County,16.5,30.0,32.3,21.2
AL,Madison County,8.0,19.2,28.5,44.3
AL,Marengo County,13.4,35.7,31.2,19.7
AL,Marion County,18.7,35.6,33.1,12.6
AL,Marshall County,16.5,31.2,31.0,21.4
AL,Mobile County,12.1,34.2,29.7,23.9
AL,Monroe County,17.6,44.7,24.8,12.9
AL,Montgomery County,12.3,25.8,28.5,33.4
AL,Morgan County,15.3,31.2,30.8,22.8
AL,Perry County,21.4,40.1,19.6,18.9
AL,Pickens County,16.7,42.3,27.6,13.3
AL,Pike County,12.7,36.3,23.3,27.8
AL,Randolph County,19.7,34.4,29.6,16.2
AL,Russell County,14.7,29.5,38.5,17.3
AL,St. Clair County,14.0,35.2,32.4,18.5
AL,Shelby County,6.4,19.8,29.0,44.8
AL,Sumter County,12.7,33.5,34.3,19.5
AL,Talladega County,17.1,34.6,32.4,15.9
AL,Tallapoosa County,18.4,31.6,31.9,18.1
AL,Tuscaloosa County,10.4,29.8,29.2,30.6
AL,Walker County,17.7,34.6,33.6,14.1
AL,Washington County,13.8,42.5,30.1,13.6
AL,Wilcox County,20.8,39.2,29.0,11.0
AL,Winston County,20.7,38.7,27.1,13.5
AK,Alaska,6.7,28.5,34.2,30.6
AK,Aleutian Islands,,,,
AK,Aleutians East Borough,15.3,41.6,27.2,15.9
AK,Aleutians West Census Area,9.0,43.4,30.9,16.8
AK,Anchorage Municipality,5.8,23.7,33.7,36.8
AK,Bethel Census Area,18.0,46.6,22.6,12.7
AK,Bristol Bay Borough,5.3,30.2,42.5,22.1
AK,"Chugach Census Area, Alaska",4.6,23.3,41.3,30.7
AK,"Copper River Census Area, Alaska",5.9,35.2,29.1,29.8
AK,Denali Borough,1.6,30.4,28.5,39.4
AK,Dillingham Census Area,13.5,39.9,27.1,19.6
AK,Fairbanks North Star Borough,5.5,25.6,36.3,32.6
AK,Haines Borough,2.3,39.4,32.6,25.6
AK,Hoonah-Angoon Census Area,6.3,36.5,34.9,22.3
AK,Juneau City and Borough,4.6,21.0,34.4,40.1
AK,Kenai Peninsula Borough,6.0,30.9,35.7,27.4
AK,Ketchikan Gateway Borough,6.0,28.9,38.7,26.4
AK,Kodiak Island Borough,9.5,28.2,33.2,29.2
AK,Kusilvak Census Area,20.4,55.6,21.0,2.9
AK,Kuskokwim Division,,,,
AK,Lake and Peninsula Borough,10.7,40.7,26.3,22.2
AK,Matanuska-Susitna Borough,6.3,33.0,37.0,23.7
AK,Nome Census Area,12.4,43.6,25.7,18.4
AK,North Slope Borough,12.3,41.4,30.6,15.6
AK,Northwest Arctic Borough,15.7,47.1,22.8,14.4
AK,Petersburg Census Area,8.5,31.0,32.0,28.4
AK,Prince of Wales-Hyder Census Area,7.6,38.1,35.1,19.2
AK,Prince of Wales-Outer Ketchikan Census Area,,,,
AK,Sitka City and Borough,5.2,25.4,36.2,33.2
AK,Skagway Municipality,9.5,33.5,31.9,25.0
AK,Skagway-Yakutat-Angoon Census Area,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,
AK,Southeast Fairbanks Census Area,7.4,38.1,35.1,19.3
AK,Upper Yukon Division,,,,
AK,Valdez-Cordova Census Area,,,,
AK,Wrangell City and Borough,15.2,37.0,32.6,15.2
AK,Wrangell-Petersburg Census Area,,,,
AK,Yakutat City and Borough,5.4,44.6,39.7,10.3
AK,Yukon-Koyukuk Census Area,12.9,42.3,31.9,12.9
AZ,Arizona,11.7,23.5,33.6,31.2
AZ,Apache County,17.8,31.0,38.3,12.8
AZ,Cochise County,11.3,24.4,38.5,25.8
AZ,Coconino County,9.0,21.3,30.9,38.7
AZ,Gila County,13.1,28.5,39.7,18.8
AZ,Graham County,16.6,29.6,39.1,14.7
AZ,Greenlee County,12.3,32.6,39.1,16.0
AZ,La Paz County,16.0,34.0,38.2,11.8
AZ,Maricopa County,11.2,22.0,32.5,34.4
AZ,Mohave County,12.6,34.3,38.5,14.6
AZ,Navajo County,15.5,29.5,38.4,16.7
AZ,Pima County,10.6,21.4,33.6,34.4
AZ,Pinal County,12.4,30.4,36.2,20.9
AZ,Santa Cruz County,22.3,26.1,28.6,23.0
AZ,Yavapai County,8.4,25.2,38.6,27.8
AZ,Yuma County,25.1,26.6,32.6,15.7
AR,Arkansas,12.3,34.1,29.3,24.3
AR,Arkansas County,13.3,41.9,28.2,16.6
AR,Ashley County,14.8,50.9,22.3,12.0
AR,Baxter County,11.3,34.7,35.3,18.6
AR,Benton County,10.3,29.4,25.8,34.6
AR,Boone County,10.9,33.8,37.5,17.8
AR,Bradley County,15.9,42.9,28.7,12.5
AR,Calhoun County,15.8,43.3,28.6,12.2
AR,Carroll County,14.8,35.2,28.0,22.0
AR,Chicot County,21.6,38.3,25.3,14.8
AR,Clark County,9.5,32.0,30.6,27.9
AR,Clay County,15.7,42.8,27.5,14.0
AR,Cleburne County,11.8,42.4,28.9,17.0
AR,Cleveland County,9.3,46.7,27.3,16.7
AR,Columbia County,13.0,39.8,27.1,20.2
AR,Conway County,11.9,41.0,28.5,18.7
AR,Craighead County,10.3,32.8,27.9,28.9
AR,Crawford County,15.1,34.1,31.7,19.1
AR,Crittenden County,15.5,35.4,31.6,17.5
AR,Cross County,18.2,41.8,26.0,14.1
AR,Dallas County,12.3,45.2,31.0,11.5
AR,Desha County,19.1,44.2,23.0,13.7
AR,Drew County,13.0,36.6,26.6,23.7
AR,Faulkner County,6.9,30.1,30.1,32.9
AR,Franklin County,13.5,41.6,34.3,10.6
AR,Fulton County,14.1,37.2,37.3,11.4
AR,Garland County,9.6,31.8,34.8,23.8
AR,Grant County,8.4,42.6,31.0,18.0
AR,Greene County,11.3,44.3,28.0,16.3
AR,Hempstead County,16.2,38.4,29.4,16.0
AR,Hot Spring County,11.4,39.1,33.0,16.4
AR,Howard County,11.9,41.8,32.0,14.3
AR,Independence County,14.2,37.0,32.3,16.5
AR,Izard County,17.9,33.2,31.8,17.0
AR,Jackson County,16.5,43.1,27.7,12.7
AR,Jefferson County,11.6,41.4,27.5,19.5
AR,Johnson County,19.9,40.9,23.2,16.0
AR,Lafayette County,18.9,45.9,24.5,10.7
AR,Lawrence County,15.2,38.9,31.0,14.9
AR,Lee County,18.3,45.6,26.4,9.8
AR,Lincoln County,18.8,48.2,24.3,8.7
AR,Little River County,10.1,43.6,31.4,14.9
AR,Logan County,12.3,44.4,30.7,12.6
AR,Lonoke County,10.1,37.8,31.9,20.3
AR,Madison County,15.1,49.9,21.5,13.5
AR,Marion County,13.8,36.6,34.5,15.1
AR,Miller County,13.1,36.2,33.7,16.9
AR,Mississippi County,17.4,41.3,27.1,14.2
AR,Monroe County,21.2,41.3,24.0,13.5
AR,Montgomery County,16.0,32.9,35.7,15.3
AR,Nevada County,9.0,51.3,28.5,11.1
AR,Newton County,14.8,37.9,30.9,16.4
AR,Ouachita County,12.4,40.5,33.7,13.3
AR,Perry County,8.7,43.4,30.4,17.5
AR,Phillips County,18.3,31.8,35.6,14.3
AR,Pike County,12.1,38.2,30.2,19.5
AR,Poinsett County,18.5,44.8,25.2,11.5
AR,Polk County,11.5,38.1,34.9,15.5
AR,Pope County,15.8,33.8,27.2,23.2
AR,Prairie County,13.2,42.4,29.2,15.3
AR,Pulaski County,8.5,25.7,29.5,36.3
AR,Randolph County,14.4,38.3,31.2,16.1
AR,St. Francis County,17.7,39.3,31.6,11.4
AR,Saline County,8.2,30.7,33.2,27.9
AR,Scott County,20.0,40.8,28.2,10.9
AR,Searcy County,19.8,39.6,25.3,15.3
AR,Sebastian County,15.4,29.6,31.0,24.0
AR,Sevier County,26.5,34.5,27.4,11.6
AR,Sharp County,17.8,39.0,32.1,11.1
AR,Stone County,15.4,34.5,35.8,14.4
AR,Union County,13.7,38.0,30.0,18.4
AR,Van Buren County,14.9,41.4,27.4,16.3
