State,Area name,hs_diploma_up,Rank
MT,Petroleum County,99.4,1.0
CO,Ouray County,98.6,2.0
CO,Custer County,98.4,3.0
AK,Denali Borough,98.3,4.5
CO,San Miguel County,98.3,4.5
NE,Loup County,98.2,6.0
NM,Los Alamos County,98.1,7.0
CO,Mineral County,98,8.0
CO,Gunnison County,97.9,10.0
CO,Douglas County,97.9,10.0
UT,Morgan County,97.9,10.0
CO,Teller County,97.8,12.0
AK,Haines Borough,97.6,13.5
MT,Garfield County,97.6,13.5
CO,Park County,97.5,15.5
MN,Lake of the Woods County,97.5,15.5
CO,Pitkin County,97.4,18.0
CO,Clear Creek County,97.4,18.0
MT,Gallatin County,97.4,18.0
VA,Falls Church city,97.3,20.5
WI,Ozaukee County,97.3,20.5
IN,Hamilton County,97.2,23.0
NE,Cherry County,97.2,23.0
OH,Delaware County,97.2,23.0
CO,Kiowa County,97.1,25.0
UT,Rich County,96.9,26.5
IA,Story County,96.9,26.5
NE,Garfield County,96.8,28.0
MO,Platte County,96.6,33.0
SD,Sully County,96.6,33.0
MT,Park County,96.6,33.0
CO,Broomfield County,96.6,33.0
CO,San Juan County,96.6,33.0
CO,La Plata County,96.6,33.0
CO,Routt County,96.6,33.0
NE,Hamilton County,96.6,33.0
MN,Cook County,96.6,33.0
VA,Lexington city,96.5,40.5
IA,Bremer County,96.5,40.5
IA,Madison County,96.5,40.5
CO,Dolores County,96.5,40.5
KS,Wabaunsee County,96.5,40.5
ID,Latah County,96.5,40.5
WI,St. Croix County,96.4,46.5
MI,Keweenaw County,96.4,46.5
MI,Leelanau County,96.4,46.5
CO,Hinsdale County,96.4,46.5
WI,Waukesha County,96.4,46.5
MT,Meagher County,96.4,46.5
ND,Steele County,96.3,54.5
MN,Washington County,96.3,54.5
MT,Madison County,96.3,54.5
MT,Missoula County,96.3,54.5
CO,Elbert County,96.3,54.5
IA,Johnson County,96.3,54.5
KS,Johnson County,96.3,54.5
SD,Brookings County,96.3,54.5
CO,Larimer County,96.3,54.5
OR,Benton County,96.3,54.5
KS,Riley County,96.2,63.0
NE,Wayne County,96.2,63.0
KS,Smith County,96.2,63.0
MN,Carver County,96.2,63.0
KS,Douglas County,96.2,63.0
SD,Hughes County,96.2,63.0
MA,Nantucket County,96.2,63.0
MT,McCone County,96.1,69.0
WA,Jefferson County,96.1,69.0
WY,Teton County,96.1,69.0
WI,Dane County,96.1,69.0
