RegionName,State,Median_Household_Income_2020,1/31/2020,Ratio_Income_to_House,Rank
Hodgeman County,KS,60414,26757.84736,2.257804941749993,1
Clark County,KS,58365,26291.68662,2.2199032281026025,2
Wallace County,KS,57386,26656.45185,2.1527996420123707,3
Stafford County,KS,55004,26052.60787,2.111266567802527,4
Rawlins County,KS,54417,29023.74176,1.8749133192397864,5
Edwards County,KS,51756,28235.50759,1.833011141557452,6
McDowell County,WV,26582,14611.87731,1.8192049820872744,7
Hamilton County,KS,61342,33909.74773,1.8089783648178144,8
Trego County,KS,60246,34257.26519,1.758634253664427,9
Lincoln County,KS,50231,29609.92376,1.6964244962986692,10
Republic County,KS,52537,31465.37346,1.6696766706674264,11
Rush County,KS,50673,30376.00557,1.6681916877854983,12
Lane County,KS,60530,36888.11636,1.6409078579473446,13
Comanche County,KS,49314,30061.93581,1.6404133224047357,14
Ness County,KS,55311,33858.31055,1.6336018868490176,15
Woodson County,KS,45357,27802.44719,1.6314031527524682,16
Gove County,KS,57676,36408.67986,1.5841277470586104,17
Russell County,KS,56536,36825.92499,1.5352228088052704,18
Jewell County,KS,46688,31057.72826,1.503265132889021,19
Meade County,KS,52590,35448.42789,1.483563676312868,20
Elk County,KS,45974,31468.62129,1.4609473855344746,21
Barber County,KS,52749,36121.11492,1.460336983418894,22
Greeley County,KS,66089,45920.75099,1.4391968462012297,23
Osborne County,KS,47811,33235.2584,1.4385626079561338,24
Allen County,KS,48616,33938.89648,1.432456710212989,25
Wichita County,KS,61326,43731.3774,1.4023340595716065,26
Morton County,KS,56878,40782.62351,1.3946626063929746,27
Harper County,KS,48275,35060.2548,1.3769152641754332,28
Edwards County,IL,55832,40661.96427,1.3730768053719506,29
Stanton County,KS,68439,49870.89751,1.3723234073795596,30
Harper County,OK,57833,42852.26716,1.349590204505763,31
Neosho County,KS,56085,41575.16923,1.349002326117531,32
Smith County,KS,49114,36830.09629,1.3335289599374545,33
Labette County,KS,50222,38366.94923,1.3089912283338458,34
Ellsworth County,KS,53443,40842.58746,1.3085116130886776,35
Bertie County,NC,41889,32207.00563,1.3006176507443297,36
Pawnee County,KS,53821,41747.69601,1.289196893335336,37
Jefferson County,OK,43014,33376.45043,1.288752981393654,38
