,County,Life Expectancy Rank,Life Expectancy,Tax Rank,Tax Rate,Salary/House Rank,salary/house,state,property tax rate,rank property tax,Education Rank,percent hs diploma,sum rank,overall rank
0,Wallace County KS,190,81.6,585,0.08333333333333333,3,2.1527996420123707,KS,1.43%,1789.0,109.0,95.6,2676.0,1
1,Eureka County NV,226,81.4,2003,0.06933333333333334,471,0.6201711632571673,NV,0.55%,125.5,168.0,95.1,2993.5,2
2,Lincoln County KS,499,80.3,622,0.0825,10,1.6964244962986692,KS,1.43%,1789.0,121.0,95.5,3041.0,3
3,Lane County KS,653,79.8,531,0.085,13,1.6409078579473446,KS,1.43%,1789.0,97.0,95.7,3083.0,4
4,Gove County KS,588,80.0,455,0.0875,17,1.5841277470586104,KS,1.43%,1789.0,295.0,94.3,3144.0,5
5,Greenlee County AZ,73,82.69999999999999,727,0.081,205,0.7978326633385172,AZ,0.62%,321.0,1891.5,87.7,3217.5,6
6,Cheyenne County KS,222,81.4,384,0.09,69,1.0706924462377618,KS,1.43%,1789.0,846.5,92.1,3310.5,7
7,Rawlins County KS,324,80.9,1084,0.0775,5,1.8749133192397864,KS,1.43%,1789.0,121.0,95.5,3323.0,8
8,Ouray County CO,58,83.2,323,0.0925,2864,0.1672606474521124,CO,0.51%,93.0,2.0,98.6,3340.0,9
9,Russell County KS,702,79.69999999999999,382,0.09000000000000001,18,1.5352228088052704,KS,1.43%,1789.0,571.5,93.1,3462.5,10
10,Republic County KS,1000,78.89999999999999,509,0.08555555555555555,11,1.6696766706674264,KS,1.43%,1789.0,157.5,95.2,3466.5,11
11,Wabaunsee County KS,884,79.19999999999999,463,0.08714285714285715,301,0.7122765648566454,KS,1.43%,1789.0,40.5,96.5,3477.5,12
12,Thomas County KS,167,81.75,403,0.0895,365,0.6761258053159095,KS,1.43%,1789.0,846.5,92.1,3570.5,13
13,Williamson County TN,260,81.23125,158,0.0975,2651,0.2393081071359794,TN,0.66%,448.0,97.0,95.7,3614.0,14
14,Clark County KS,11,86.6,1523,0.07166666666666667,2,2.2199032281026025,KS,1.43%,1789.0,295.0,94.3,3620.0,15
15,Hodgeman County KS,158,81.8,671,0.08249999999999999,1,2.257804941749993,KS,1.43%,1789.0,1035.0,91.4,3654.0,16
16,Pitkin County CO,91,82.425,546,0.08457142857142856,2920,0.088969239396201,CO,0.51%,93.0,18.0,97.4,3668.0,17
17,Garfield County WA,86,82.5,263,0.095,1576,0.3994384451260674,WA,0.94%,1417.0,355.5,94.0,3697.5,18
18,Washita County OK,594,79.975,232,0.096,222,0.7811450275663634,OK,0.90%,1206.8266666666666,1470.0,89.6,3724.826666666667,19
19,Summit County CO,128,82.05000000000001,359,0.09125,2905,0.1320614965929311,CO,0.51%,93.0,256.0,94.5,3741.0,20
20,Shelby County AL,1259,78.35555555555555,298,0.09352941176470589,1729,0.3775326390826652,AL,0.41%,35.5,454.0,93.6,3775.5,21
21,Washington County KS,456,80.44999999999999,1057,0.07772727272727273,52,1.1820272258500109,KS,1.43%,1789.0,425.5,93.7,3779.5,22
22,Harper County OK,55,83.35,924,0.08,31,1.349590204505763,OK,0.90%,1206.8266666666666,1577.5,89.2,3794.326666666667,23
23,Dewey County OK,1332,78.2,471,0.08696428571428572,72,1.064816476385878,OK,0.90%,1206.8266666666666,732.5,92.5,3814.326666666667,24
24,Logan County KS,652,79.8,532,0.085,153,0.8750509863508419,KS,1.43%,1789.0,732.5,92.5,3858.5,25
25,Doniphan County KS,473,80.39999999999999,354,0.09166666666666667,150,0.8768059808067253,KS,1.43%,1789.0,1109.0,91.1,3875.0,26
26,Sheridan County KS,1464,77.9,528,0.085,42,1.2542912070921854,KS,1.43%,1789.0,86.0,95.8,3909.0,27
27,Smith County KS,1578,77.65,448,0.08750000000000001,33,1.3335289599374545,KS,1.43%,1789.0,63.0,96.2,3911.0,28
28,Nemaha County KS,798,79.43333333333334,677,0.08222222222222222,162,0.8579333682560054,KS,1.43%,1789.0,502.5,93.4,3928.5,29
29,Putnam County MO,56,83.3,1531,0.07150000000000001,589,0.5727580540724498,MO,0.98%,1487.0,274.5,94.4,3937.5,30
30,Cheyenne County CO,1,89.5,3075,0.044000000000000004,207,0.7943653108157493,CO,0.51%,93.0,571.5,93.1,3947.5,31
