County,state,Life Expectancy Rank,Life Expectancy,Tax Rank,Tax Rate,overall rank
Ouray, CO,58,83.2,178,0.0925,236
Cook, MN,223,81.4,90,0.10134180790960452,313
Marin, CA,53,83.38823529411765,274,0.08594827586206898,327
King, WA,261,81.20185185185186,99,0.09928160919540228,360
Nassau, NY,97,82.36617100371747,281,0.08552364864864864,378
Carson, TX,43,83.80000000000001,335,0.0825,378
Pitkin, CO,91,82.425,297,0.08457142857142856,388
Sterling, TX,39,84.0,352,0.0825,391
Westchester, NY,96,82.36875,298,0.08449324324324325,394
Eagle, CO,92,82.4,305,0.0839,397
Haskell, KS,3,88.6,397,0.08149999999999999,400
Menard, TX,13,86.4,389,0.08178571428571428,402
Rockland, NY,101,82.3125,308,0.08375,409
Alameda, CA,334,80.84585798816569,84,0.10479591836734693,418
Queens, NY,212,81.48370967741936,213,0.08875,425
Briscoe, TX,32,84.4,404,0.08125,436
Island, WA,215,81.43684210526315,222,0.0885,437
Harper, OK,55,83.35,428,0.08055555555555555,483
Johnson, WY,41,83.9,442,0.0802436440677966,483
Greenlee, AZ,73,82.69999999999999,411,0.081,484
Houston, MN,65,82.88,433,0.08039285714285715,498
Wallace, KS,190,81.6,317,0.08333333333333333,507
Kane, UT,123,82.1,400,0.08132142857142857,523
Williamson, TN,260,81.23125,263,0.08652439024390243,523
DuPage, IL,248,81.28994974874372,275,0.08581081081081082,523
Hodgeman, KS,158,81.8,369,0.08249999999999999,527
Gray, KS,17,86.15,528,0.07977777777777778,545
Broomfield, CO,319,80.91538461538462,242,0.087175,561
Johnson, IA,120,82.1421052631579,442,0.0802436440677966,562
Pierce, WI,302,81.01428571428572,262,0.08653846153846154,564
Kingfisher, OK,385,80.7,201,0.09000000000000001,586
Riley, KS,329,80.88888888888889,261,0.0865625,590
Tensas, LA,512,80.25,83,0.10533333333333333,595
Hood, OR,242,81.3,355,0.0825,597
Pope, MN,90,82.45,511,0.08,601
Monterey, CA,335,80.84186046511627,271,0.08612903225806451,606
Clark, KS,11,86.6,597,0.0775421511627907,608
Dallas, IA,203,81.52666666666667,410,0.08109615384615385,613
Foard, TX,108,82.2,517,0.08,625
Lafayette, WI,88,82.46000000000001,541,0.07932608695652174,629
Falls, VA,45,83.8,591,0.0778125,636
Boulder, CO,199,81.55576923076923,444,0.08021666666666666,643
Sonoma, CA,414,80.59052631578948,232,0.08769736842105263,646
Concho, TX,10,86.8,637,0.076875,647
Schoharie, NY,145,81.91428571428571,514,0.08,659
Doniphan, KS,473,80.39999999999999,189,0.09166666666666667,662
Oneida, ID,286,81.1,382,0.08196428571428571,668
Guadalupe, NM,38,84.0,633,0.07703816666666667,671
Harris, GA,308,80.975,370,0.0824822695035461,678
Whatcom, WA,432,80.53870967741936,258,0.08675,690
Cimarron, OK,89,82.45,610,0.0775,699
Stevens, MN,48,83.66666666666667,663,0.07628125000000001,711
Schleicher, TX,21,85.3,690,0.07583333333333332,711
Kendall, TX,278,81.13333333333334,436,0.08035714285714286,714
Thomas, KS,167,81.75,553,0.07895833333333334,720
Lewis, NY,27,84.74285714285715,695,0.07565725806451613,722
Thurston, NE,175,81.69999999999999,550,0.0790952380952381,725
Saguache, CO,79,82.6,646,0.07666666666666666,725
Washita, OK,594,79.975,140,0.096,734
Tompkins, NY,240,81.31176470588235,495,0.08,735
Okanogan, WA,435,80.52000000000001,306,0.08389473684210527,741
Hubbard, MN,117,82.17142857142858,639,0.07675,756
Kittitas, WA,374,80.7375,384,0.0819,758
Napa, CA,235,81.33333333333333,535,0.079625,770
Pierce, NE,510,80.25,262,0.08653846153846154,772
Chelan, WA,460,80.42307692307692,312,0.08353846153846155,772
Hinsdale, CO,221,81.4,552,0.079,773
Klickitat, WA,68,82.73333333333333,705,0.0755,773
Leon, TX,142,81.93333333333334,650,0.0765909090909091,792
Cayuga, NY,316,80.92631578947368,477,0.08,793
Collin, TX,427,80.55,372,0.08232758620689656,799
Rains, TX,455,80.45,346,0.0825,801
Orange, VT,103,82.27000000000001,706,0.07546696035242291,809
Steele, ND,30,84.5,786,0.073875,816
Brewster, TX,163,81.76666666666667,653,0.0765,816
Dutchess, NY,423,80.55675675675676,394,0.08161764705882353,817
Johnson, KS,383,80.71810344827585,442,0.0802436440677966,825
Olmsted, MN,243,81.3,583,0.078125,826
Gove, KS,588,80.0,239,0.0875,827
Murray, MN,227,81.39999999999999,604,0.0775,831
Ventura, CA,301,81.01987577639753,530,0.07974137931034483,831
Marshall, MN,19,85.35,814,0.07348033707865169,833
Kings, NY,567,80.06123595505618,267,0.08629891304347825,834
Jackson, MN,26,84.75,810,0.0736028409090909,836
Storey, NV,412,80.6,432,0.08043333333333334,844
Shelby, IL,535,80.18333333333334,311,0.08355,846
Caddo, OK,692,79.7125,154,0.09483783783783784,846
Lewis, ID,152,81.85,695,0.07565725806451613,847
Snohomish, WA,748,79.59109589041095,100,0.09918518518518518,848
Hamilton, IN,293,81.05000000000001,556,0.07876492537313433,849
Schuyler, NY,276,81.14,574,0.07839285714285714,850
Sierra, CA,24,84.9,829,0.07323529411764707,853
Otsego, NY,290,81.07333333333332,565,0.0786842105263158,855
Rice, MN,238,81.32307692307693,621,0.07733333333333332,859
Steele, MN,76,82.6125,786,0.073875,862
Carver, MN,95,82.37058823529412,770,0.07425,865
Calhoun, IL,119,82.15,746,0.0747945205479452,865
Newton, AR,112,82.19999999999999,762,0.07444021739130435,874
Swisher, TX,410,80.60000000000001,464,0.08,874
Putnam, MO,56,83.3,821,0.07335000000000001,877
McLeod, MN,113,82.18571428571428,765,0.074375,878
Stanton, KS,4,87.9,877,0.07250000000000001,881
Whitman, WA,341,80.82857142857142,542,0.07930000000000001,883
Nicollet, MN,189,81.60000000000001,694,0.07575,883
Pottawatomie, KS,646,79.825,241,0.08749117647058824,887
Orange, CA,183,81.6575925925926,706,0.07546696035242291,889
Jefferson, WA,229,81.37142857142858,661,0.0763845822102426,890
Benton, OR,144,81.91538461538462,749,0.07472602739726028,893
Allegany, NY,252,81.26666666666667,641,0.07666666666666667,893
Nevada, CA,574,80.04736842105264,320,0.08317307692307693,894
Roseau, MN,100,82.32000000000001,795,0.07375,895
Waller, TX,556,80.1,341,0.0825,897
Wabasha, MN,105,82.25,792,0.07375,897
Nobles, MN,126,82.08333333333333,772,0.07425,898
DeKalb, IL,518,80.22631578947369,383,0.08192666666666666,901
Kane, IL,504,80.26124999999999,400,0.08132142857142857,904
McIntosh, ND,494,80.3,414,0.08095833333333334,908
Montgomery, MD,61,83.01299999999999,848,0.07286875,909
Duval, TX,172,81.7,745,0.0749390243902439,917
Chenango, NY,420,80.56666666666666,498,0.08,918
Yates, NY,417,80.58,502,0.08,919
Clark, SD,325,80.9,597,0.0775421511627907,922
Stearns, MN,143,81.92222222222223,783,0.07394230769230768,926
Harvey, KS,682,79.73333333333333,246,0.08714285714285715,928
Morrison, MN,137,81.975,791,0.07375,928
Humboldt, IA,274,81.15,656,0.07648076923076923,930
Huerfano, CO,220,81.4,712,0.07525,932
Suffolk, NY,393,80.68045602605864,540,0.07948333333333334,933
Kandiyohi, MN,217,81.425,717,0.07511363636363635,934
Lipscomb, TX,255,81.25,680,0.076,935
Rawlins, KS,324,80.9,614,0.0775,938
Madison, MT,36,84.13333333333333,903,0.07214432989690722,939
Hughes, SD,638,79.85,302,0.08399999999999999,940
Clark, WI,344,80.825,597,0.0775421511627907,941
Coke, TX,263,81.2,688,0.07583333333333334,951
Skagit, WA,685,79.72142857142856,270,0.08615384615384615,955
Freeborn, MN,187,81.61,776,0.07416666666666666,963
Ulster, NY,524,80.21707317073171,447,0.08006818181818183,971
Putnam, NY,151,81.8529411764706,821,0.07335000000000001,972
Inyo, CA,365,80.76666666666667,611,0.0775,976
Putnam, IL,155,81.80000000000001,821,0.07335000000000001,976
Mitchell, IA,281,81.10000000000001,698,0.0755952380952381,979
Holmes, OH,62,83.0,920,0.07166666666666667,982
Albany, WY,320,80.9125,666,0.07625,986
Cortland, NY,514,80.24545454545455,478,0.08,992
Kitsap, WA,813,79.3808510638298,182,0.0921,995
Isanti, MN,321,80.9125,693,0.07575,1014
Livingston, NY,272,81.16153846153846,750,0.07470205479452055,1022
Travis, TX,666,79.77087912087912,359,0.0825,1025
Archuleta, CO,129,82.05,896,0.07233333333333335,1025
Summit, CO,128,82.05000000000001,907,0.07197872340425532,1035
Hamilton, NE,479,80.36666666666667,556,0.07876492537313433,1035
Jefferson, ID,382,80.725,661,0.0763845822102426,1043
Erath, TX,689,79.7125,358,0.0825,1047
Taos, NM,218,81.41666666666667,830,0.07322222222222223,1048
McPherson, SD,467,80.4,582,0.07821428571428571,1049
Mono, CA,314,80.94999999999999,736,0.075,1050
Madison, NY,148,81.89999999999999,903,0.07214432989690722,1051
Grand, CO,433,80.53333333333335,619,0.07740909090909091,1052
Norton, KS,469,80.4,584,0.078125,1053
Kendall, IL,617,79.9,436,0.08035714285714286,1053
Chatham, NC,125,82.09166666666667,929,0.07134615384615385,1054
Hickory, MO,110,82.2,949,0.07100000000000001,1059
Herkimer, NY,752,79.58421052631579,309,0.0836764705882353,1061
Yolo, CA,407,80.61428571428571,657,0.07645833333333334,1064
Wright, MN,259,81.23125,806,0.07368814814814816,1065
Crockett, TX,878,79.2,194,0.09107142857142858,1072
Torrance, NM,237,81.325,836,0.073046875,1073
Arapahoe, CO,693,79.71190476190476,381,0.08197647058823529,1074
Sutton, TX,740,79.6,337,0.0825,1077
Saratoga, NY,178,81.69166666666666,900,0.07227272727272728,1078
Comanche, TX,684,79.725,395,0.08160714285714286,1079
Edwards, TX,446,80.5,635,0.07694444444444444,1081
Sherburne, MN,375,80.73636363636363,707,0.07541666666666667,1082
Hidalgo, TX,485,80.34770642201835,598,0.07750000000000001,1083
Waseca, MN,283,81.1,801,0.07375,1084
Williamson, TX,822,79.3525641025641,263,0.08652439024390243,1085
Hamilton, IA,531,80.2,556,0.07876492537313433,1087
Platte, NE,268,81.18571428571428,820,0.07338888888888889,1088
Orleans, VT,461,80.42,629,0.077147,1090
Dooly, GA,608,79.93333333333334,482,0.08,1090
Grundy, IA,380,80.725,711,0.07527678571428573,1091
Butte, SD,146,81.9,946,0.07111111111111111,1092
Skamania, WA,465,80.4,628,0.07716666666666666,1093
Denton, TX,750,79.58888888888889,348,0.0825,1098
Franklin, IA,246,81.3,856,0.07268389830508475,1102
Kiowa, KS,355,80.8,748,0.07473333333333333,1103
Watonwan, MN,164,81.76666666666667,940,0.07125,1104
Hennepin, MN,488,80.32043795620437,617,0.0774141791044776,1105
Summit, UT,198,81.57142857142857,907,0.07197872340425532,1105
Harmon, OK,920,79.1,188,0.09166666666666667,1108
Ontario, NY,515,80.244,595,0.07763157894736843,1110
Benton, IA,362,80.77142857142857,749,0.07472602739726028,1111
Kimble, TX,176,81.69999999999999,937,0.07125000000000001,1113
Seneca, NY,400,80.65,714,0.07522727272727273,1114
Jefferson, WI,453,80.45263157894736,661,0.0763845822102426,1114
King, VA,1016,78.86,99,0.09928160919540228,1115
Gillespie, TX,450,80.46000000000001,668,0.07625,1118
Winona, MN,322,80.91111111111111,798,0.07375,1120
Wabaunsee, KS,884,79.19999999999999,245,0.08714285714285715,1129
Lyon, IA,291,81.06666666666666,840,0.07302272727272727,1131
Greene, VA,438,80.5,700,0.07556129032258065,1138
Goodhue, MN,339,80.83,800,0.07375,1139
Oliver, ND,34,84.3,1111,0.07,1145
Glenn, CA,313,80.95,833,0.073125,1146
Pawnee, NE,559,80.1,587,0.07796875,1146
Imperial, CA,580,80.02413793103447,570,0.0785,1150
Ellis, OK,826,79.35,325,0.08292592592592592,1151
Mower, MN,379,80.72727272727273,777,0.07408333333333332,1156
Oswego, NY,719,79.65714285714286,438,0.08034090909090909,1157
Henderson, IL,449,80.46666666666667,708,0.07540697674418605,1157
Scott, MN,349,80.80952380952381,808,0.07363571428571429,1157
Cherokee, IA,572,80.05,586,0.07801886792452829,1158
Jefferson, IA,498,80.3,661,0.0763845822102426,1159
Taylor, WI,42,83.86,1118,0.06994318181818182,1160
Delaware, NY,214,81.43846153846154,948,0.0710482456140351,1162
Calaveras, CA,337,80.83333333333333,827,0.07333333333333332,1164
Wilson, TX,632,79.86,532,0.07970000000000001,1164
Bailey, TX,442,80.5,722,0.07500000000000001,1164
Smith, MS,881,79.2,288,0.0852857142857143,1169
Greene, NY,474,80.39285714285714,700,0.07556129032258065,1174
Champaign, IL,589,80.0,585,0.07807692307692307,1174
Howard, NE,40,83.94999999999999,1135,0.06945754716981131,1175
Swift, MN,47,83.67500000000001,1129,0.06958333333333334,1176
Collier, FL,195,81.59152542372881,981,0.07022727272727274,1176
Shackelford, TX,492,80.3,691,0.07583333333333332,1183
Cuming, NE,312,80.96666666666665,871,0.07250000000000001,1183
Jewell, KS,612,79.9,572,0.0784375,1184
Redwood, MN,391,80.68333333333334,794,0.07375,1185
Mason, TX,59,83.2,1127,0.06961627906976744,1186
Bureau, IL,418,80.57777777777778,769,0.07427083333333333,1187
Franklin, MA,331,80.87777777777778,856,0.07268389830508475,1187
Craig, VA,782,79.5,417,0.08085714285714286,1199
Perry, MO,228,81.38,977,0.07039814814814815,1205
Seminole, FL,659,79.78987341772151,549,0.07916250000000001,1208
Winnebago, IA,404,80.63333333333333,805,0.07371794871794872,1209
Grand, MI,596,79.9625,619,0.07740909090909091,1215
Fulton, NY,770,79.52666666666667,445,0.080195,1215
Trinity, CA,327,80.9,888,0.0725,1215
Thurston, WA,667,79.77083333333333,550,0.0790952380952381,1217
Bandera, TX,487,80.34,731,0.075,1218
Faribault, MN,266,81.2,953,0.07097222222222223,1219
Moore, NC,363,80.76875,858,0.07266666666666667,1221
Ferry, WA,810,79.39999999999999,416,0.08088888888888889,1226
Steuben, NY,660,79.78620689655173,566,0.0786764705882353,1226
Martin, TX,35,84.19999999999999,1194,0.06824404761904762,1229
Orange, NY,523,80.21866666666666,706,0.07546696035242291,1229
Jefferson, NY,569,80.05909090909091,661,0.0763845822102426,1230
Riverside, CA,939,79.0438679245283,291,0.08524647887323943,1230
Ottawa, MI,309,80.97058823529412,926,0.0715,1235
Cattaraugus, NY,811,79.39999999999999,424,0.08064814814814815,1235
Upton, TX,508,80.25,729,0.075,1237
Sibley, MN,343,80.825,897,0.07232142857142856,1240
Putnam, OH,419,80.57142857142857,821,0.07335000000000001,1240
Morton, KS,20,85.3,1220,0.0675,1240
Ellis, KS,917,79.10000000000001,325,0.08292592592592592,1242
Comal, TX,908,79.13636363636364,336,0.0825,1244
Osceola, IA,124,82.1,1121,0.0698,1245
Winneshiek, IA,132,82.03999999999999,1114,0.07,1246
Shelby, IA,935,79.05,311,0.08355,1246
Fillmore, MN,83,82.53333333333333,1167,0.06874999999999999,1250
Woodford, IL,799,79.43333333333334,452,0.08,1251
Anderson, KS,675,79.75,578,0.07830882352941176,1253
Ozark, MO,275,81.15,979,0.07037500000000001,1254
Becker, MN,483,80.35,771,0.07425,1254
Wyandot, OH,377,80.73333333333333,878,0.0725,1255
Wayne, UT,2,89.3,1256,0.0663180751173709,1258
Hartley, TX,52,83.5,1207,0.0675,1259
Onondaga, NY,804,79.40153846153846,455,0.08,1259
Henry, OH,493,80.3,767,0.07433333333333333,1260
Monroe, WV,306,81.0,954,0.0708915343915344,1260
Haskell, TX,865,79.25,397,0.08149999999999999,1262
Alfalfa, OK,1056,78.76666666666667,207,0.08964285714285715,1263
Jefferson, CO,604,79.94049586776859,661,0.0763845822102426,1265
Franklin, ID,411,80.6,856,0.07268389830508475,1267
Clallam, WA,1020,78.85,250,0.087125,1270
Suffolk, MA,730,79.62934131736527,540,0.07948333333333334,1270
Hidalgo, NM,676,79.75,598,0.07750000000000001,1274
Republic, KS,1000,78.89999999999999,279,0.08555555555555555,1279
King, VA,1183,78.5,99,0.09928160919540228,1282
Sioux, NE,12,86.6,1271,0.0661904761904762,1283
Franklin, NE,428,80.55,856,0.07268389830508475,1284
DeKalb, MO,902,79.15,383,0.08192666666666666,1285
Chickasaw, IA,250,81.275,1035,0.07,1285
Garfield, UT,14,86.25,1272,0.06615,1286
Pike, IN,317,80.925,973,0.07047522522522523,1290
Placer, CA,490,80.31857142857143,802,0.07375,1292
Rockwall, TX,961,78.99090909090908,331,0.0825,1292
Clay, IA,573,80.05,720,0.07504166666666667,1293
Frontier, NE,15,86.2,1281,0.06583333333333334,1296
Jones, IA,336,80.84,961,0.07073529411764706,1297
Chisago, MN,502,80.28,796,0.07375,1298
Kingman, KS,1055,78.76666666666667,247,0.08714285714285715,1302
Osage, MO,1031,78.825,273,0.0861060606060606,1304
Morris, NJ,134,82.0295918367347,1171,0.06863559322033898,1305
Sevier, UT,976,78.96000000000001,329,0.08259782608695652,1305
Howard, MD,170,81.7074074074074,1135,0.06945754716981131,1305
Gilpin, CO,156,81.8,1153,0.06899999999999999,1309
